"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Josh Allen","BUF","30.1","20.3","236.0","1.6","0.7","6.5","33.1","0.7","0.0","22.3"
"Trevor Lawrence","JAC","34.6","21.7","251.6","1.7","0.7","5.0","22.6","0.4","0.0","20.7"
"Drake Maye","NE","30.5","21.3","250.6","1.7","0.5","5.5","25.5","0.2","0.0","20.1"
"Matthew Stafford","LAR","35.5","22.9","275.2","2.1","0.6","1.1","3.7","0.0","0.0","19.6"
"Jalen Hurts","PHI","30.1","20.1","219.4","1.5","0.5","5.8","24.6","0.4","0.0","19.3"
"Justin Herbert","LAC","32.9","21.9","240.1","1.5","0.7","5.5","27.2","0.2","0.0","18.6"
"Caleb Williams","CHI","32.6","19.2","228.8","1.6","0.5","4.7","22.3","0.2","0.0","18.5"
"Brock Purdy","SF","32.0","22.1","242.2","1.6","0.8","4.5","18.3","0.2","0.0","17.9"
"Jordan Love","GB","30.9","20.2","236.8","1.5","0.5","3.2","12.9","0.1","0.0","16.5"
"C.J. Stroud","HOU","32.3","20.7","232.4","1.4","0.5","3.4","15.1","0.1","0.0","16.2"
"Bryce Young","CAR","33.5","21.0","205.5","1.2","0.7","5.3","21.2","0.2","0.0","15.5"
"Aaron Rodgers","PIT","32.0","21.2","221.6","1.3","0.3","1.0","4.5","0.0","0.0","14.4"
""
""